epoch,train_loss,val_dice
1,0.541979,0.029251
2,0.442038,0.756931
3,0.401771,0.844379
4,0.397373,0.743358
5,0.385532,0.738773
6,0.379885,0.853489
7,0.367191,0.131827
8,0.357551,0.848285
9,0.354409,0.773872
10,0.356386,0.837645
11,0.35745,0.817122
12,0.347511,0.763214
13,0.343791,0.877398
14,0.330074,0.878857
15,0.326636,0.879427
16,0.333223,0.883008
17,0.323028,0.881294
18,0.32462,0.881663
19,0.333002,0.882316
20,0.326196,0.877335
21,0.321931,0.880339
22,0.32356,0.880617
23,0.32446,0.882759
24,0.317712,0.881879
25,0.322874,0.882882
26,0.319614,0.882065
27,0.31927,0.882601
28,0.327155,0.882311
29,0.322519,0.883089
30,0.323511,0.883542
31,0.321159,0.8822
32,0.326394,0.882191
33,0.330526,0.882813
34,0.324867,0.882115
35,0.318984,0.882453
36,0.320432,0.882402
37,0.325468,0.883446
38,0.319299,0.882191
39,0.323863,0.882191
40,0.319437,0.882919
41,0.322844,0.882795
42,0.315714,0.883504
43,0.323009,0.883041
44,0.334836,0.882248
45,0.327021,0.882869
46,0.323756,0.882587
47,0.321416,0.883475
48,0.322335,0.883141
49,0.321022,0.88282
50,0.325914,0.882667
51,0.330353,0.881516
52,0.326999,0.883137
53,0.316626,0.882254
54,0.324228,0.883245
55,0.315208,0.883751
56,0.331201,0.882239
57,0.324866,0.884061
58,0.319711,0.883206
59,0.319364,0.882428
60,0.319659,0.882067
61,0.317658,0.883281
62,0.322509,0.883101
63,0.318858,0.882787
64,0.332298,0.882314
65,0.324858,0.883139
66,0.326708,0.88278
67,0.321692,0.88205
68,0.322288,0.881827
69,0.31745,0.883134
70,0.319966,0.883179
71,0.321077,0.882897
72,0.323348,0.883193
73,0.325806,0.882997
74,0.318945,0.882193
75,0.324002,0.882399
76,0.320413,0.883279
77,0.323085,0.881995
78,0.322668,0.882839
79,0.327073,0.88313
80,0.317362,0.882257
81,0.322552,0.88226
82,0.32157,0.882547
83,0.321832,0.882886
84,0.324799,0.882579
85,0.327174,0.882698
86,0.324684,0.881944
87,0.316024,0.883224
88,0.322693,0.882253
89,0.320056,0.883414
90,0.321136,0.882537
91,0.315742,0.88284
92,0.319362,0.88301
93,0.322925,0.882912
94,0.326198,0.883039
95,0.32139,0.883475
96,0.32435,0.881316
97,0.317427,0.8829
98,0.324223,0.882843
99,0.316288,0.882369
100,0.324875,0.882816
