epoch,train_loss,val_dice
1,0.558195,0.02024
2,0.418685,0.745898
3,0.41177,0.842454
4,0.379275,0.861042
5,0.372617,0.371459
6,0.374657,0.442282
7,0.352177,0.701069
8,0.355109,0.733047
9,0.338119,0.876101
10,0.34525,0.360986
11,0.338519,0.839136
12,0.331985,0.856572
13,0.327162,0.872433
14,0.332823,0.86941
15,0.334046,0.46993
16,0.324549,0.880754
17,0.320034,0.875133
18,0.319005,0.881789
19,0.320048,0.881
20,0.316238,0.880622
21,0.320659,0.883072
22,0.316288,0.883059
23,0.315413,0.882236
24,0.315482,0.882873
25,0.316215,0.876249
26,0.316346,0.88137
27,0.313319,0.882651
28,0.312305,0.881982
29,0.313882,0.882398
30,0.310522,0.882377
31,0.314109,0.882758
32,0.312904,0.883745
33,0.312226,0.883202
34,0.312007,0.882002
35,0.309753,0.882594
36,0.312833,0.883186
37,0.312218,0.883762
38,0.311284,0.882358
39,0.311917,0.883804
40,0.313156,0.882876
41,0.310405,0.883386
42,0.310049,0.883297
43,0.31424,0.883791
44,0.310544,0.883182
45,0.313434,0.883163
46,0.313546,0.883409
47,0.309924,0.882264
48,0.310146,0.882994
49,0.310195,0.882789
50,0.31031,0.883623
51,0.314754,0.883153
52,0.312665,0.88267
53,0.311114,0.883238
54,0.313878,0.882059
55,0.310244,0.882035
56,0.311293,0.883018
57,0.310664,0.882675
58,0.311142,0.88253
59,0.310421,0.883135
60,0.309855,0.883153
61,0.313493,0.883734
62,0.315149,0.883742
63,0.310322,0.882902
64,0.317734,0.881286
65,0.312199,0.882653
66,0.314137,0.882607
67,0.311531,0.883539
68,0.313791,0.882939
69,0.315666,0.88311
70,0.315135,0.882458
71,0.312807,0.883309
72,0.310675,0.882544
73,0.317569,0.882912
74,0.310845,0.883057
75,0.314112,0.883401
76,0.311713,0.883137
77,0.315119,0.883077
78,0.30984,0.882794
79,0.312614,0.882307
80,0.31399,0.883114
81,0.311919,0.883696
82,0.30914,0.882817
83,0.313278,0.882167
84,0.312231,0.882126
85,0.311543,0.881807
86,0.311652,0.883981
87,0.316816,0.881854
88,0.310454,0.882784
89,0.310806,0.883068
90,0.310529,0.883517
91,0.309354,0.882403
92,0.309658,0.883771
93,0.313981,0.882421
94,0.313162,0.882492
95,0.312138,0.883049
96,0.311719,0.882909
97,0.315663,0.882632
98,0.310629,0.883228
99,0.313258,0.884119
100,0.310393,0.881232
