epoch,train_loss,val_dice
1,0.92019,0.07635
2,0.538378,0.822296
3,0.437442,0.85398
4,0.384765,0.866583
5,0.361839,0.863041
6,0.337377,0.853225
7,0.311952,0.871039
8,0.284017,0.873184
9,0.262145,0.86648
10,0.237195,0.867502
11,0.214745,0.871034
12,0.202372,0.869074
13,0.193883,0.846761
14,0.175123,0.863673
15,0.170168,0.866288
16,0.156484,0.865569
17,0.148501,0.864124
18,0.149144,0.866784
19,0.142571,0.866559
20,0.141676,0.865205
21,0.138929,0.8642
22,0.142555,0.866355
23,0.134157,0.864668
24,0.133875,0.863881
25,0.135799,0.863732
26,0.134092,0.864557
27,0.139731,0.864132
28,0.136925,0.866004
29,0.134795,0.866916
30,0.133731,0.86224
31,0.136922,0.866975
32,0.140061,0.86292
33,0.132537,0.864889
34,0.143623,0.862316
35,0.138667,0.864975
36,0.138428,0.864804
37,0.13921,0.866354
38,0.137507,0.865155
39,0.135961,0.866845
40,0.135204,0.865839
41,0.143851,0.863564
42,0.138143,0.865658
43,0.139927,0.866779
44,0.135601,0.864414
45,0.136388,0.86535
46,0.138228,0.866911
47,0.141134,0.864954
48,0.13994,0.866009
49,0.13699,0.86524
50,0.137509,0.861833
51,0.137314,0.86524
52,0.138874,0.86319
53,0.138896,0.864197
54,0.132799,0.863548
55,0.133601,0.86528
56,0.140354,0.860875
57,0.140358,0.866711
58,0.133219,0.865921
59,0.13111,0.86697
60,0.137358,0.863397
61,0.134378,0.86418
62,0.132395,0.867758
63,0.132954,0.866865
64,0.134527,0.864089
65,0.134618,0.863023
66,0.137906,0.86536
67,0.138838,0.863489
68,0.13687,0.865321
69,0.14091,0.862593
70,0.131384,0.863796
71,0.135392,0.865465
72,0.137109,0.863987
73,0.13373,0.864589
74,0.133649,0.864162
75,0.138881,0.864196
76,0.138771,0.866571
77,0.140057,0.862973
78,0.138461,0.867056
79,0.136979,0.8667
80,0.13818,0.861392
81,0.138335,0.865988
82,0.134649,0.86458
83,0.136946,0.863597
84,0.135154,0.864252
85,0.139748,0.866795
86,0.139321,0.864262
87,0.135306,0.864801
88,0.134653,0.866531
89,0.13822,0.862659
90,0.137373,0.866309
91,0.133021,0.866988
92,0.136336,0.86646
93,0.140627,0.862725
94,0.138124,0.866886
95,0.13218,0.867425
96,0.136849,0.863469
97,0.137547,0.865702
98,0.137897,0.862144
99,0.141325,0.863909
100,0.13762,0.864052
